ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms_rstamp_6033_ms_flag_1_lid_CMU_13,780.0000,0.6972,1.8850,3.2566,1.6382,1.0892,1.1705,1.5713,3.5941,1.8366
1,CMU_13,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms_rstamp_6382_ms_flag_1_lid_CMU_13,489.0000,3.0555,1.8532,2.5216,1.6279,1.4970,3.4828,1.6156,3.8469,2.3322
1,CMU_13,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms_rstamp_5522_ms_flag_1_lid_CMU_13,288.0000,1.6282,3.0863,3.0970,3.1740,3.6657,2.7393,0.9329,3.8343,1.0419
1,CMU_13,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms_rstamp_6677_ms_flag_1_lid_CMU_13,548.0000,0.8763,3.2434,1.4799,3.5981,2.1130,0.8034,0.7900,2.9202,2.4335
1,CMU_13,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms_rstamp_6323_ms_flag_1_lid_CMU_13,325.0000,0.5196,2.4053,2.4547,3.3110,3.4794,2.4252,1.7586,3.2510,3.9410
1,CMU_13,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms_rstamp_6776_ms_flag_1_lid_CMU_13,437.0000,3.7616,3.0510,3.5929,2.3685,2.1634,1.8963,0.5210,4.1095,2.3429
1,CMU_13,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms_rstamp_6823_ms_flag_1_lid_CMU_13,360.0000,2.8651,2.8953,4.1362,3.2595,2.3479,2.6993,1.5735,4.0422,2.1243
1,CMU_13,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms_rstamp_6036_ms_flag_1_lid_CMU_13,776.0000,1.5667,2.8176,0.8979,3.0012,2.6509,2.0150,0.0606,3.1986,2.5619
1,CMU_13,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms_rstamp_6449_ms_flag_1_lid_CMU_13,612.0000,0.7833,3.9705,2.8262,3.1461,2.8648,0.8707,1.2132,3.3962,3.2025
1,CMU_13,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms_rstamp_6298_ms_flag_1_lid_CMU_13,339.0000,0.9679,3.6877,3.6072,3.1329,3.5196,1.9991,1.7658,1.7514,2.1684
1,CMU_13,LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms_rstamp_6290_ms_flag_1_lid_CMU_13,536.0000,0.9375,2.3656,1.8067,2.0818,1.3773,1.3495,0.1793,3.1349,1.9577
1,CMU_13,LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms_rstamp_5970_ms_flag_1_lid_CMU_13,442.0000,3.6101,1.6955,3.4824,2.3801,3.0676,1.3310,3.1448,2.7371,1.4010
1,CMU_13,LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms_rstamp_6320_ms_flag_1_lid_CMU_13,534.0000,3.1495,3.5502,4.8403,3.9136,1.9463,2.2260,0.4969,3.4632,2.0888
1,CMU_13,LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms_rstamp_6827_ms_flag_1_lid_CMU_13,582.0000,3.2916,2.6674,4.6853,2.3965,1.5712,1.9351,1.9019,5.5404,3.0462
1,CMU_13,LS_2843_152918_0035_SWT_LS_7447_91187_0005_tChange_6415_ms_rstamp_6873_ms_flag_1_lid_CMU_13,458.0000,1.0151,3.1302,2.9030,2.3395,1.3063,3.6485,2.6971,2.8824,1.2363
1,CMU_13,LS_2843_152918_0046_SWT_LS_374_180298_0059_tChange_6271_ms_rstamp_6934_ms_flag_1_lid_CMU_13,663.0000,2.4035,2.4458,2.0302,2.6361,1.6288,0.7525,1.4383,2.4143,0.9303
1,CMU_13,LS_2843_152918_0051_SWT_LS_374_180298_0037_tChange_5631_ms_rstamp_6163_ms_flag_1_lid_CMU_13,532.0000,2.5239,2.8161,1.6673,3.0367,1.5685,1.4937,0.3784,1.1134,1.4862
1,CMU_13,LS_2843_152918_0058_SWT_LS_5456_58161_0022_tChange_6571_ms_rstamp_6924_ms_flag_1_lid_CMU_13,353.0000,2.4188,2.6989,4.5219,3.0149,2.5533,2.5452,0.0315,2.3607,1.4574
1,CMU_13,LS_2843_152918_0060_SWT_LS_7505_83618_0007_tChange_5905_ms_rstamp_6264_ms_flag_1_lid_CMU_13,359.0000,1.2907,2.5356,2.4471,1.9460,3.5630,3.3054,1.5688,3.9608,3.2266
1,CMU_13,LS_2843_152918_0061_SWT_LS_7447_91187_0009_tChange_6039_ms_rstamp_6414_ms_flag_1_lid_CMU_13,375.0000,0.0875,3.4781,2.1277,2.8928,2.8628,1.1138,3.8405,4.3658,3.8846
1,CMU_13,LS_2843_152918_0062_SWT_LS_7447_91187_0057_tChange_6003_ms_rstamp_6632_ms_flag_1_lid_CMU_13,629.0000,0.8779,4.4767,2.2281,3.5171,1.3850,2.2903,0.0111,4.3077,1.2732
1,CMU_13,LS_2843_152918_0068_SWT_LS_374_180298_0010_tChange_5820_ms_rstamp_6598_ms_flag_1_lid_CMU_13,778.0000,1.8792,3.5448,1.8985,2.4545,1.5124,1.1973,1.7540,2.7904,2.5158
1,CMU_13,LS_2843_152918_0083_SWT_LS_374_180299_0004_tChange_6124_ms_rstamp_6777_ms_flag_1_lid_CMU_13,653.0000,3.9044,2.2567,1.7744,1.6365,1.9682,0.7146,0.5678,2.6980,1.9765
1,CMU_13,LS_2843_152918_0088_SWT_LS_374_180299_0037_tChange_6702_ms_rstamp_7098_ms_flag_1_lid_CMU_13,396.0000,1.8410,2.5972,2.9879,1.7382,3.1270,1.8072,2.0604,2.7435,1.0030
1,CMU_13,LS_2843_152918_0089_SWT_LS_7447_91187_0027_tChange_6837_ms_rstamp_7213_ms_flag_1_lid_CMU_13,376.0000,0.6211,3.4981,3.4334,4.1536,3.2697,2.8276,2.5555,4.0091,3.6958
1,CMU_13,LS_2843_152918_0096_SWT_LS_7505_83618_0005_tChange_5821_ms_rstamp_6469_ms_flag_1_lid_CMU_13,648.0000,1.1686,2.9927,1.9086,2.5388,1.8007,1.6462,0.6943,2.7789,2.3127
1,CMU_13,LS_2843_152918_0100_SWT_LS_5456_62014_0012_tChange_5549_ms_rstamp_5883_ms_flag_1_lid_CMU_13,334.0000,1.5152,2.3726,5.1901,2.3633,4.3811,2.2991,2.9876,2.8875,0.7150
1,CMU_13,LS_2843_152918_0103_SWT_LS_5456_62043_0022_tChange_7301_ms_rstamp_8127_ms_flag_1_lid_CMU_13,826.0000,1.1019,1.8757,2.9610,2.2702,0.7143,1.0439,0.3115,2.7299,0.7051
1,CMU_13,LS_2843_152918_0106_SWT_LS_7505_83618_0016_tChange_5674_ms_rstamp_5995_ms_flag_1_lid_CMU_13,321.0000,1.1065,4.3223,0.9748,4.4549,3.8562,1.7265,2.2425,2.7001,1.8909
1,CMU_13,LS_2843_152918_0113_SWT_LS_5456_62014_0017_tChange_5560_ms_rstamp_5924_ms_flag_1_lid_CMU_13,364.0000,2.5642,3.4586,3.0390,3.6316,4.2292,1.9168,2.7276,2.6408,0.7610
1,CMU_13,LS_374_180298_0002_SWT_LS_5456_62043_0002_tChange_5408_ms_rstamp_5852_ms_flag_1_lid_CMU_13,444.0000,1.2550,3.1136,2.2515,2.7195,0.9897,2.3749,0.6108,0.7234,1.1134
1,CMU_13,LS_374_180298_0005_SWT_LS_7505_83618_0005_tChange_6027_ms_rstamp_6405_ms_flag_1_lid_CMU_13,378.0000,0.0718,3.5746,2.0736,3.1926,3.4029,2.4499,2.2605,2.7101,1.6140
1,CMU_13,LS_374_180298_0008_SWT_LS_7447_91187_0036_tChange_6568_ms_rstamp_6853_ms_flag_1_lid_CMU_13,285.0000,0.2964,3.5581,2.9884,3.7540,2.8155,4.2687,3.3612,3.4411,4.0782
1,CMU_13,LS_374_180298_0009_SWT_LS_7447_91187_0009_tChange_7335_ms_rstamp_7980_ms_flag_1_lid_CMU_13,645.0000,1.5930,3.9652,2.7415,4.0561,0.9173,1.0112,0.0199,4.3362,4.3466
1,CMU_13,LS_374_180298_0011_SWT_LS_2843_152918_0113_tChange_6006_ms_rstamp_6488_ms_flag_1_lid_CMU_13,482.0000,1.5550,3.8689,1.3201,3.4063,1.1246,0.7074,0.4034,2.1162,2.6020
1,CMU_13,LS_374_180298_0012_SWT_LS_5456_62014_0012_tChange_9088_ms_rstamp_9530_ms_flag_1_lid_CMU_13,442.0000,0.6534,1.5194,4.2539,2.1361,4.3296,0.7313,1.0688,1.8329,1.3232
1,CMU_13,LS_374_180298_0018_SWT_LS_7447_91187_0005_tChange_5732_ms_rstamp_6031_ms_flag_1_lid_CMU_13,299.0000,0.0672,3.5734,3.7195,3.3956,1.4686,5.7140,1.1957,3.3712,2.7487
1,CMU_13,LS_374_180298_0020_SWT_LS_5456_58161_0003_tChange_6092_ms_rstamp_6358_ms_flag_1_lid_CMU_13,266.0000,0.5844,3.4485,3.4030,3.2892,5.3112,1.2024,4.5766,1.3109,0.9149
1,CMU_13,LS_374_180298_0022_SWT_LS_7505_258958_0035_tChange_5749_ms_rstamp_6869_ms_flag_1_lid_CMU_13,1120.0000,0.6576,3.1193,1.0337,3.3661,2.0505,1.9252,0.5836,2.4781,1.8822
1,CMU_13,LS_374_180298_0028_SWT_LS_2843_152918_0058_tChange_5627_ms_rstamp_6018_ms_flag_1_lid_CMU_13,391.0000,1.3394,2.1635,1.3151,2.2352,2.5205,1.1371,3.0887,0.4267,1.0849
1,CMU_13,LS_374_180298_0033_SWT_LS_7505_83618_0007_tChange_7213_ms_rstamp_7636_ms_flag_1_lid_CMU_13,423.0000,0.5333,3.1390,1.7139,2.2799,1.6891,2.8967,1.7054,2.5890,1.4998
1,CMU_13,LS_374_180298_0040_SWT_LS_2843_152918_0103_tChange_8598_ms_rstamp_9207_ms_flag_1_lid_CMU_13,609.0000,1.9939,2.7929,1.1291,2.9085,1.8431,2.2719,0.8955,1.8964,2.0016
1,CMU_13,LS_374_180298_0042_SWT_LS_5456_58161_0022_tChange_5267_ms_rstamp_5949_ms_flag_1_lid_CMU_13,682.0000,1.3965,2.6108,4.1446,3.1754,2.7290,0.6168,2.2724,2.7263,1.0655
1,CMU_13,LS_374_180298_0044_SWT_LS_7505_258964_0019_tChange_6168_ms_rstamp_6568_ms_flag_1_lid_CMU_13,400.0000,0.9516,2.0852,3.5059,2.4438,2.0130,1.9987,3.7723,2.7715,1.7324
1,CMU_13,LS_374_180298_0049_SWT_LS_5456_62014_0017_tChange_5982_ms_rstamp_6482_ms_flag_1_lid_CMU_13,500.0000,2.7080,3.3156,3.3436,4.0358,2.9063,2.1237,2.1095,3.2938,3.1149
1,CMU_13,LS_374_180298_0050_SWT_LS_5456_62014_0011_tChange_5219_ms_rstamp_5625_ms_flag_1_lid_CMU_13,406.0000,0.2017,2.7690,2.3800,2.9520,3.7440,1.5613,1.1579,1.0958,0.9469
