ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_2843_152918_0096_SWT_LS_7505_83618_0005_tChange_5821_ms_rstamp_6469_ms_flag_1_lid_CMU_13,648.0000,1.0096,3.2187,1.6343,2.9805,1.4876,1.5143,0.5346,2.5407,2.1467
1,CMU_13,LS_2843_152918_0100_SWT_LS_5456_62014_0012_tChange_5549_ms_rstamp_5883_ms_flag_1_lid_CMU_13,334.0000,2.0057,2.6888,5.1758,2.2296,4.6746,2.1462,2.9431,3.5881,1.3578
1,CMU_13,LS_2843_152918_0103_SWT_LS_5456_62043_0022_tChange_7301_ms_rstamp_8127_ms_flag_1_lid_CMU_13,826.0000,0.3457,2.1735,2.6166,2.6325,1.0883,0.8507,0.5099,2.1565,0.8948
1,CMU_13,LS_2843_152918_0106_SWT_LS_7505_83618_0016_tChange_5674_ms_rstamp_5995_ms_flag_1_lid_CMU_13,321.0000,0.4357,3.4742,0.7700,3.8516,3.6096,2.1793,2.2401,2.4145,1.5057
1,CMU_13,LS_2843_152918_0113_SWT_LS_5456_62014_0017_tChange_5560_ms_rstamp_5924_ms_flag_1_lid_CMU_13,364.0000,2.4196,2.8738,2.9104,3.6659,4.1847,1.9963,2.5500,2.6755,0.8881
1,CMU_13,LS_374_180298_0002_SWT_LS_5456_62043_0002_tChange_5408_ms_rstamp_5852_ms_flag_1_lid_CMU_13,444.0000,0.5209,3.2096,2.5194,2.9684,1.0245,2.8501,0.3172,1.0839,1.0842
1,CMU_13,LS_374_180298_0005_SWT_LS_7505_83618_0005_tChange_6027_ms_rstamp_6405_ms_flag_1_lid_CMU_13,378.0000,0.5539,2.9533,2.3205,2.4397,3.2406,2.3641,2.1995,3.1153,1.5158
1,CMU_13,LS_374_180298_0008_SWT_LS_7447_91187_0036_tChange_6568_ms_rstamp_6853_ms_flag_1_lid_CMU_13,285.0000,0.0728,3.6053,2.9855,3.4485,2.8315,4.4829,3.4137,2.9409,3.4095
1,CMU_13,LS_374_180298_0009_SWT_LS_7447_91187_0009_tChange_7335_ms_rstamp_7980_ms_flag_1_lid_CMU_13,645.0000,1.8570,3.5976,2.8942,3.7607,1.1736,1.0642,0.5748,4.0295,4.0625
1,CMU_13,LS_374_180298_0011_SWT_LS_2843_152918_0113_tChange_6006_ms_rstamp_6488_ms_flag_1_lid_CMU_13,482.0000,1.2348,4.8944,1.4420,4.2998,0.9392,0.9735,0.5659,2.4470,3.1142
1,CMU_13,LS_374_180298_0012_SWT_LS_5456_62014_0012_tChange_9088_ms_rstamp_9530_ms_flag_1_lid_CMU_13,442.0000,0.1348,1.9842,4.5128,2.2003,4.5488,0.8948,1.0011,2.5500,1.5780
1,CMU_13,LS_374_180298_0018_SWT_LS_7447_91187_0005_tChange_5732_ms_rstamp_6031_ms_flag_1_lid_CMU_13,299.0000,1.0234,3.5382,3.2097,3.1223,1.3080,5.0770,2.0000,2.3595,2.4537
1,CMU_13,LS_374_180298_0020_SWT_LS_5456_58161_0003_tChange_6092_ms_rstamp_6358_ms_flag_1_lid_CMU_13,266.0000,0.9655,2.8208,3.7871,3.2690,5.1054,1.2531,4.1404,2.0633,0.9766
1,CMU_13,LS_374_180298_0022_SWT_LS_7505_258958_0035_tChange_5749_ms_rstamp_6869_ms_flag_1_lid_CMU_13,1120.0000,0.0455,3.6223,1.0056,3.6445,2.3574,1.8030,0.7790,2.1559,1.5856
1,CMU_13,LS_374_180298_0028_SWT_LS_2843_152918_0058_tChange_5627_ms_rstamp_6018_ms_flag_1_lid_CMU_13,391.0000,0.4534,1.8841,1.0351,1.9340,2.5562,1.2525,4.1801,0.8292,1.0568
1,CMU_13,LS_374_180298_0033_SWT_LS_7505_83618_0007_tChange_7213_ms_rstamp_7636_ms_flag_1_lid_CMU_13,423.0000,0.8226,4.5756,1.6620,3.4856,1.9403,2.7710,1.7571,2.5525,2.1399
1,CMU_13,LS_374_180298_0040_SWT_LS_2843_152918_0103_tChange_8598_ms_rstamp_9207_ms_flag_1_lid_CMU_13,609.0000,2.2204,3.2436,1.2856,3.0940,1.5963,2.5561,0.8542,1.9793,1.4219
1,CMU_13,LS_374_180298_0042_SWT_LS_5456_58161_0022_tChange_5267_ms_rstamp_5949_ms_flag_1_lid_CMU_13,682.0000,0.0501,3.8141,3.6452,4.0639,3.6041,0.8996,3.4824,1.5901,1.5109
1,CMU_13,LS_374_180298_0044_SWT_LS_7505_258964_0019_tChange_6168_ms_rstamp_6568_ms_flag_1_lid_CMU_13,400.0000,1.5683,2.8942,3.6430,2.7622,1.4970,2.4506,3.3690,3.2859,2.0836
1,CMU_13,LS_374_180298_0049_SWT_LS_5456_62014_0017_tChange_5982_ms_rstamp_6482_ms_flag_1_lid_CMU_13,500.0000,2.1399,3.1261,2.8028,4.1683,2.3641,2.1339,1.9591,2.6341,2.6990
1,CMU_13,LS_374_180298_0050_SWT_LS_5456_62014_0011_tChange_5219_ms_rstamp_5625_ms_flag_1_lid_CMU_13,406.0000,0.0368,3.1910,2.3127,3.5229,4.1833,1.8815,1.3028,1.0033,0.9902
1,CMU_13,LS_374_180298_0054_SWT_LS_5456_62043_0017_tChange_7578_ms_rstamp_8049_ms_flag_1_lid_CMU_13,471.0000,0.5986,4.1226,2.5576,3.5461,2.8302,1.4655,2.2511,3.2028,2.8888
1,CMU_13,LS_374_180298_0055_SWT_LS_2843_152918_0100_tChange_9911_ms_rstamp_10538_ms_flag_1_lid_CMU_13,627.0000,0.9388,2.5282,1.2328,3.6097,0.6731,2.9700,0.1672,2.2826,1.4303
1,CMU_13,LS_374_180298_0060_SWT_LS_7447_91187_0030_tChange_5612_ms_rstamp_6039_ms_flag_1_lid_CMU_13,427.0000,1.6227,4.2067,3.7938,3.1110,0.8207,2.3953,1.3308,1.8277,0.8582
