ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms_rstamp_6033_ms_flag_1_lid_CMU_13,780.0000,0.3231,2.2763,3.0792,1.7460,1.4322,0.7567,1.7458,3.3040,1.7686
1,CMU_13,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms_rstamp_6382_ms_flag_1_lid_CMU_13,489.0000,3.0115,1.8762,2.4288,1.6222,1.2202,3.3967,1.5924,3.5772,2.0727
1,CMU_13,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms_rstamp_5522_ms_flag_1_lid_CMU_13,288.0000,2.1526,3.4293,3.2584,3.1721,3.4724,2.7204,1.0296,4.0564,1.0783
1,CMU_13,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms_rstamp_6677_ms_flag_1_lid_CMU_13,548.0000,1.2962,3.3558,1.5191,3.3818,2.1673,0.9167,0.7828,2.9916,2.5453
1,CMU_13,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms_rstamp_6323_ms_flag_1_lid_CMU_13,325.0000,0.4291,2.6614,2.3382,3.2136,3.5486,2.4095,1.7801,3.3665,4.0274
1,CMU_13,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms_rstamp_6776_ms_flag_1_lid_CMU_13,437.0000,3.7741,2.8405,3.5868,2.2303,1.9218,1.9980,0.4986,4.0664,2.5863
1,CMU_13,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms_rstamp_6823_ms_flag_1_lid_CMU_13,360.0000,3.0069,2.8828,4.2597,3.1426,2.3514,2.8467,1.5332,4.0025,1.8207
1,CMU_13,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms_rstamp_6036_ms_flag_1_lid_CMU_13,776.0000,1.8680,2.8124,0.6659,2.6802,2.6539,1.8949,0.0943,3.0207,2.2418
1,CMU_13,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms_rstamp_6449_ms_flag_1_lid_CMU_13,612.0000,1.0576,3.8128,2.9410,2.7389,2.7230,0.7766,1.1500,3.5497,3.0030
1,CMU_13,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms_rstamp_6298_ms_flag_1_lid_CMU_13,339.0000,1.0582,3.4559,3.6567,2.7786,3.4503,2.0830,1.7621,1.8259,1.8391
1,CMU_13,LS_2843_152918_0025_SWT_LS_7447_91186_0038_tChange_5754_ms_rstamp_6290_ms_flag_1_lid_CMU_13,536.0000,1.3126,2.1486,1.8520,1.8892,1.7436,1.4025,0.1887,3.3792,2.2883
1,CMU_13,LS_2843_152918_0026_SWT_LS_5456_62014_0011_tChange_5528_ms_rstamp_5970_ms_flag_1_lid_CMU_13,442.0000,3.4287,2.1377,3.3352,2.3593,2.9420,1.3996,3.0255,2.5584,1.3107
1,CMU_13,LS_2843_152918_0028_SWT_LS_5456_58161_0003_tChange_5786_ms_rstamp_6320_ms_flag_1_lid_CMU_13,534.0000,3.0142,3.9827,4.8059,4.1560,1.7348,2.0447,0.6219,3.1094,1.7934
1,CMU_13,LS_2843_152918_0029_SWT_LS_7505_258964_0019_tChange_6245_ms_rstamp_6827_ms_flag_1_lid_CMU_13,582.0000,2.9840,2.1373,4.6635,2.0279,1.4317,1.9228,1.7852,4.8722,1.9734
1,CMU_13,LS_2843_152918_0035_SWT_LS_7447_91187_0005_tChange_6415_ms_rstamp_6873_ms_flag_1_lid_CMU_13,458.0000,0.7768,3.7386,2.8380,2.5143,1.2345,3.8323,2.7774,2.7514,1.2210
1,CMU_13,LS_2843_152918_0046_SWT_LS_374_180298_0059_tChange_6271_ms_rstamp_6934_ms_flag_1_lid_CMU_13,663.0000,2.5574,2.5475,1.9815,2.4940,1.5559,0.8703,1.4628,2.1815,0.9549
1,CMU_13,LS_2843_152918_0051_SWT_LS_374_180298_0037_tChange_5631_ms_rstamp_6163_ms_flag_1_lid_CMU_13,532.0000,3.0730,2.3649,1.9106,2.7364,1.4831,1.6425,0.0934,1.1370,1.3685
1,CMU_13,LS_2843_152918_0058_SWT_LS_5456_58161_0022_tChange_6571_ms_rstamp_6924_ms_flag_1_lid_CMU_13,353.0000,2.5285,2.9303,4.6379,2.9818,2.5847,2.5917,0.1718,2.3086,1.6245
1,CMU_13,LS_2843_152918_0060_SWT_LS_7505_83618_0007_tChange_5905_ms_rstamp_6264_ms_flag_1_lid_CMU_13,359.0000,1.0350,2.2951,2.4058,1.5766,3.2226,3.4190,1.6772,3.6679,2.8502
1,CMU_13,LS_2843_152918_0061_SWT_LS_7447_91187_0009_tChange_6039_ms_rstamp_6414_ms_flag_1_lid_CMU_13,375.0000,0.4794,3.2484,2.3988,2.7683,3.0891,1.2998,3.9688,4.4065,3.7833
