ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_2843_152918_0001_SWT_LS_7447_91187_0030_tChange_5253_ms_rstamp_6033_ms_flag_1_lid_CMU_13,780.0000,0.2973,2.4883,3.1273,1.9453,1.0932,0.6811,1.5677,3.6541,1.9749
1,CMU_13,LS_2843_152918_0002_SWT_LS_7505_83618_0010_tChange_5893_ms_rstamp_6382_ms_flag_1_lid_CMU_13,489.0000,3.0412,1.8755,2.4129,1.6932,1.2582,3.5003,1.5747,3.7506,2.1622
1,CMU_13,LS_2843_152918_0004_SWT_LS_7505_83618_0024_tChange_5234_ms_rstamp_5522_ms_flag_1_lid_CMU_13,288.0000,2.0200,4.0315,3.1983,3.7431,3.8341,2.7318,0.9432,4.0656,1.0460
1,CMU_13,LS_2843_152918_0009_SWT_LS_374_180299_0033_tChange_6129_ms_rstamp_6677_ms_flag_1_lid_CMU_13,548.0000,1.4442,3.9247,1.5331,3.8253,2.1440,0.9671,0.7758,3.0907,2.8524
1,CMU_13,LS_2843_152918_0010_SWT_LS_7447_91187_0061_tChange_5998_ms_rstamp_6323_ms_flag_1_lid_CMU_13,325.0000,0.2343,2.6712,2.1909,3.2028,3.3905,2.2103,1.5811,3.2500,3.8571
1,CMU_13,LS_2843_152918_0011_SWT_LS_7505_83618_0015_tChange_6339_ms_rstamp_6776_ms_flag_1_lid_CMU_13,437.0000,3.6087,2.8077,3.5775,2.2804,1.9511,1.9456,0.4968,3.9319,2.4213
1,CMU_13,LS_2843_152918_0013_SWT_LS_374_180298_0015_tChange_6463_ms_rstamp_6823_ms_flag_1_lid_CMU_13,360.0000,3.1195,3.0480,4.2642,3.2319,2.2053,2.7272,1.5083,3.8379,1.6602
1,CMU_13,LS_2843_152918_0015_SWT_LS_7505_258958_0035_tChange_5260_ms_rstamp_6036_ms_flag_1_lid_CMU_13,776.0000,1.7144,3.0505,0.5960,2.7720,2.5092,1.7048,0.0596,2.6546,1.8083
1,CMU_13,LS_2843_152918_0016_SWT_LS_5456_62043_0017_tChange_5837_ms_rstamp_6449_ms_flag_1_lid_CMU_13,612.0000,0.8205,3.2898,2.8215,2.5053,2.5046,0.7566,1.0816,3.1342,2.3576
1,CMU_13,LS_2843_152918_0023_SWT_LS_5456_62043_0002_tChange_5959_ms_rstamp_6298_ms_flag_1_lid_CMU_13,339.0000,0.8190,3.5528,3.6473,2.9026,3.2080,2.1631,1.6865,1.5961,1.6815
